epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,1.960326,0.3025,1.869676,0.298056,0.0005,54.7731
2,1.68674,0.424167,1.825125,0.343413,0.0005,58.1797
3,1.619194,0.460833,1.632002,0.419006,0.0005,34.0566
4,1.487632,0.5125,1.547568,0.490281,0.0005,31.2987
5,1.455979,0.524167,1.671868,0.397408,0.0005,33.0649
6,1.393384,0.545833,1.538503,0.449244,0.0005,31.171
7,1.385584,0.543333,1.517362,0.464363,0.0005,32.7555
8,1.310308,0.571667,1.648947,0.466523,0.0005,31.4996
9,1.287124,0.583333,1.479149,0.546436,0.0005,30.7139
10,1.2419,0.598333,1.583698,0.455724,0.0005,32.522
11,1.22868,0.600833,1.515618,0.524838,0.0005,30.1328
12,1.195645,0.625833,1.461687,0.50324,0.0005,34.1929
13,1.202065,0.615833,1.417543,0.552916,0.0005,34.5038
14,1.158792,0.625,1.43234,0.529158,0.0005,31.186
15,1.160264,0.621667,1.495665,0.585313,0.0005,30.0641
